"","Gene","norm.method","2D_2w_DMSO","2D_4w_DMSO","2D_4w_MRTX","3D_2w_DMSO","3D_2w_MRTX","3D_4w_DMSO","3D_4w_MRTX","T7_andrew","control","2D_2w_DMSO.wald.fdr","2D_4w_DMSO.wald.fdr","2D_4w_MRTX.wald.fdr","3D_2w_DMSO.wald.fdr","3D_2w_MRTX.wald.fdr","3D_4w_DMSO.wald.fdr","3D_4w_MRTX.wald.fdr","T7_andrew.wald.fdr","dependency"
"486","DAK","loess",0.00217769548870253,0.0449552953206241,-0.208358966547563,0.11826423374966,0.0196152184124696,0.296663912197554,0.221235611378554,0,"",0.99928,0.91826,0.87624,0.99932,0.99322,0.89414,0.70797,NA,NA
"487","DAPK1","loess",-0.0932347058479396,0.0847709380552389,0.210675899133345,-0.0376558307702055,0.108171712919103,0.0344507405580719,0.296346045952385,0,"",0.97681,0.73064,0.26722,0.99932,0.99591,0.98226,0.29145,NA,0.0551879480835696
"488","DAPK2","loess",-0.250636250447452,-0.0157638096505735,0.0880415476270415,-0.442756161866902,-0.366906853246532,-0.350242255910055,-0.570310216505528,0,"",0.91281,0.93414,0.72211,0.52246,0.65344,0.45438,0.11414,NA,-0.0162420426624081
"489","DAPK3","loess",0.0674909565873579,-0.363784253757741,-0.17180981595032,0.495327661909063,0.425734692656007,0.815145147965451,0.560124610590181,0,"",0.99928,0.65215,0.9498,0.99932,0.9783,0.21673,0.15628,NA,-0.00500923798523459
"490","DAXX","loess",0.332958514870387,0.907511170482894,0.15739923452477,-0.436030349504624,-0.417551992707781,-0.577369730954108,-0.817876846711536,0,"",0.94979,0.045427,0.65306,0.95536,0.93975,0.50487,0.17613,NA,-0.0777675034805468
"491","DCAKD","loess",-0.111979245482177,-0.177447245361004,0.23467567525819,0.145995893340227,0.0230219002451451,0.137211078142403,0.045464943857216,0,"",0.97681,0.85141,0.22313,0.99932,0.98753,0.92611,0.84422,NA,-0.167804367803462
"492","DCK","loess",0.0704113979317962,-0.355136966150637,-0.155577049963883,0.109446594291823,-0.172853062890974,6.40953242088196e-05,-0.00775000854233418,0,"",0.99443,0.46468,0.80892,0.99932,0.9643,0.96483,0.96439,NA,5.15722363475576e-05
"493","DCLK1","loess",-0.154253189247239,0.225349749493042,-0.262945308556258,-0.386551387937598,-0.216117660437163,-0.148999229458433,-0.111252973856351,0,"",0.98432,0.56488,0.61226,0.87908,0.98376,0.87037,0.8525,NA,-0.0348930514287869
"494","DCLK2","loess",-0.0927848658379017,-0.0846203716887768,-0.545755806348355,-0.349921876027504,-0.430569634956889,-0.326443669940619,-0.376385775199955,0,"",0.99443,0.9997,0.16527,0.95323,0.77772,0.68776,0.40251,NA,-0.0146032742172398
"495","DCLK3","loess",1.0629113827787,0.0459458645994238,0.0885982367992592,0.0536331646830007,-0.0383022262039111,-0.0853852694596149,-0.239285153196857,0,"",0.82798,0.94749,0.85653,0.99932,0.99322,0.97845,0.90408,NA,-0.0251930802732965
"496","DCLRE1A","loess",-0.0615540091374389,-0.189879323729376,0.177531510506387,0.0864571390116308,0.203932291261125,0.0862771655373657,0.353652226550307,0,"",0.99443,0.8766,0.45823,0.99932,0.98753,0.98692,0.32876,NA,0.0266798778515696
"497","DCLRE1B","loess",-0.608689267431955,-0.723182720773794,-0.665451178927575,-0.456065655156483,-0.457878080999615,-0.61078578584989,-0.422417310860689,0,"",0.55404,0.145,0.11333,0.9323,0.86283,0.35092,0.39698,NA,-0.494348558878434
"498","DCLRE1C","loess",0.192967455263976,-0.0604922551669904,0.527066249288189,0.150262025691225,0.220975196757893,0.331487168250529,0.0177931599151781,0,"",0.99443,0.99817,0.19983,0.99932,0.98753,0.88091,0.94659,NA,-0.00886056055718265
"499","DDB1","loess",-0.773618068364079,-0.892501578592772,-0.474238161975922,-0.96660566254825,-0.628983538380371,-0.978255721698378,-0.430027268440228,0,"essential",0.22805,0.030225,0.2129,0.20623,0.57223,0.049148,0.36985,NA,-1.84633121262812
"500","DDB2","loess",0.0430547102425933,-0.148888102774734,-0.18060891993917,-0.11092131472845,-0.312847417981309,-0.140173575046544,-0.408411379772386,0,"",0.99638,0.95699,0.83486,0.99932,0.96814,0.90212,0.48914,NA,-0.0385283154632538
"501","DDC","loess",0.247996036063379,-0.000900064953279267,0.371759558660296,0.198130191402118,0.0749662892457159,0.218414690530291,0.0492642990514799,0,"",0.96189,0.92027,0.12483,0.99932,0.9936,0.88091,0.8363,NA,0.0454987218006685
"502","DDR1","loess",0.0201224727825981,-0.0588422598871006,1.06336659167588,-0.147048712091521,-0.0907190253788472,0.0699204246450991,0.617607508253891,0,"",0.99885,0.98905,0.23184,0.99932,0.98753,0.99104,0.62631,NA,0.0358081305695944
"503","DDR2","loess",-0.0185596802956142,-0.0713592881239279,-0.307010694989783,-0.0165162987331799,0.212635024624556,-0.000566538718615457,0.259037476236565,0,"",0.99928,0.98861,0.62692,0.99932,0.98753,0.97926,0.53526,NA,0.00892768908131489
"504","DDX1","loess",-0.976848767461506,-0.723601341957795,-0.602253251516925,-0.920471826403177,-0.848700591788247,-0.987264190874297,-0.817670029998054,0,"",0.092966,0.15154,0.14269,0.31419,0.31572,0.076765,0.11796,NA,-0.388093011322086
"505","DDX18","loess",-0.0843328810223436,0.150569272369642,0.343149414173507,-0.45389218678459,-0.458403134795282,-0.502843013531861,-0.463111470409072,0,"essential",0.99443,0.78768,0.41,0.93684,0.88303,0.58129,0.42064,NA,-1.97527856028205
"506","DDX23","loess",-0.934441209660304,-0.782615837881904,-0.29288809935017,-0.545053364803173,-0.306264689217537,-0.533934985237019,-0.416921813849893,0,"",0.040264,0.054608,0.4472,0.65121,0.9643,0.36703,0.347,NA,-1.28094408210031
"507","DDX46","loess",-0.988258480964353,-1.00201076079143,-1.29922734866743,-1.34436290924138,-0.919979747048658,-1.40054052403682,-0.747930229249922,0,"essential",0.33278,0.094417,0.015116,0.22699,0.55843,0.050009,0.26936,NA,-0.980128882972419
"508","DEF8","loess",0.0458084455713642,-0.160047374210345,-0.140925676281624,0.0397621152407374,0.274886919670777,0.122940543991011,0.518689126018079,0,"",0.99928,0.90519,0.9077,0.99932,0.98753,0.9456,0.10753,NA,-0.157200128067464
"509","DGKA","loess",0.23733021060624,0.449968100617199,0.724047780625891,0.0744866485671779,0.081217700335093,0.00245593023336503,0.0347336290150342,0,"",0.98715,0.40044,0.025404,0.99932,0.99322,0.95773,0.90408,NA,-0.0792669799943698
"510","DGKB","loess",-0.404293451201646,-0.063731524773589,-0.24406215351074,-0.517865137630937,-0.612346909113844,-0.549588823861068,-0.554338829908177,0,"",0.67076,0.99977,0.45968,0.43043,0.23599,0.19969,0.13911,NA,0.120051542321626
"511","DGKD","loess",-0.217229850420514,-0.281585605804686,0.993633273990897,0.0550630825476156,0.1004871163875,0.110777654324269,-0.197116671025081,0,"",0.99443,0.91669,0.2297,0.99932,0.99511,0.99471,0.90408,NA,-0.145638908424918
"512","DGKE","loess",0.191534729657049,0.313096898097057,0.14808674122021,-0.179146296251056,-0.125582541800522,-0.486781445793386,-0.662708085129352,0,"",0.97681,0.4494,0.58303,0.99932,0.98753,0.42397,0.15974,NA,-0.0707155892254305
"513","DGKG","loess",-0.143565149498553,0.0343723929742104,0.44351547996556,-0.0714607118099539,-0.0198616931575071,0.132589887850931,0.000728793675312346,0,"",0.97681,0.88506,0.099308,0.99932,0.98753,0.95248,0.9724,NA,-0.0547257753161079
"514","DGKH","loess",0.438387840770089,0.332137046183852,0.0736895233281879,0.650121582451115,0.916292487173804,0.946451243876346,1.06358027621661,0,"",0.98715,0.75804,0.75462,0.99932,0.95322,0.61315,0.13751,NA,0.0267935206036545
"515","DGKI","loess",-0.0349275594194133,0.0935575359588587,0.468002966444497,0.127049220883097,0.205490091580871,0.0567016750403881,0.0676240695117011,0,"",0.99443,0.80429,0.10023,0.99932,0.98753,0.99471,0.83953,NA,0.108615390850524
"516","DGKQ","loess",0.0800537867820967,0.0244521046109678,0.418721875020133,-0.0464037333901149,0.049677740709192,0.19582910024648,0.282601126021246,0,"",0.99928,0.92027,0.15857,0.99932,0.98756,0.92611,0.48917,NA,0.0340558164185311
"517","DGKZ","loess",-0.050211133059373,-0.102771380855987,0.901544603612143,-0.0798133149284608,-0.0389247822465615,0.108857006968717,0.263109000509522,0,"",0.99443,0.9688,0.07469,0.99932,0.98753,0.99471,0.71173,NA,-0.00458880547945952
"518","DGUOK","loess",-0.123876577570582,0.314417521073201,-0.232304592871663,-0.15561021111982,0.0110030065276663,0.082802934612156,-0.156439080650959,0,"",0.98715,0.47878,0.74553,0.99932,0.98957,0.98067,0.82603,NA,0.0519485665079452
"519","DHFR","loess",-2.18168225397567,-2.15272827505038,-1.29450645669687,-1.87255203681862,-2.03628377549081,-2.28054618418821,-2.34190101777945,0,"",4.0073e-06,5.3535e-10,0.00058794,0.0046389,0.00078099,1.8326e-06,1.2469e-07,NA,NA
"520","DHODH","loess",-0.984872654003834,-0.91621108406301,-0.874191710228808,-1.02287942909958,-0.950069977409649,-1.08622119544183,-1.29663394975328,0,"",0.077622,0.026197,0.024032,0.21428,0.19916,0.035537,0.0047319,NA,-0.754449541835283
"521","DHX32","loess",0.350126866018756,0.470275568363139,0.302846932748764,0.238431622384972,0.224988729142634,0.623903199704712,0.256059081637023,0,"",0.97681,0.49604,0.39955,0.99932,0.98756,0.68809,0.62847,NA,-0.0340259370632
"522","DHX9","loess",-0.251746955553796,-0.131954595368965,0.783335157373564,-0.2351747029277,-0.331553021704435,-0.292910599141838,-0.30447328267683,0,"essential",0.98715,0.97212,0.32582,0.99932,0.98753,0.90927,0.82884,NA,-0.867414429000411
"523","DIDO1","loess",0.406606159469065,0.206098020721025,0.474842087857294,0.225060243342832,0.404174502155584,0.139987818552368,0.519256167901833,0,"",0.97681,0.78768,0.23895,0.99932,0.98753,0.97845,0.3393,NA,-0.304475730523263
"524","DLG1","loess",0.102804174882714,0.288575311190665,0.210438680813742,-0.533277301958824,-0.354735744589619,-0.432905971472116,-0.524582148866563,0,"",0.99736,0.77898,0.78049,0.99932,0.98753,0.85938,0.6333,NA,-0.0887811353128806
"525","DLG2","loess",-0.073631771963732,-0.0461928428584358,-0.114104847504551,-0.0663473632757457,0.0746948080913572,0.0554312894258959,-0.0655242719147884,0,"",0.99443,0.96862,0.95159,0.99932,0.99943,0.99471,0.95913,NA,0.0389415474437767
"526","DLG3","loess",0.580967434170442,0.575444783296943,0.443014566452955,0.530501880577192,0.737230832673368,0.715740922310434,0.658159580518666,0,"",0.95951,0.52583,0.31735,0.99932,0.97591,0.73314,0.2928,NA,0.0450103794226787
"527","DMAP1","loess",-0.471676808664611,-0.206696838243712,0.283823254895731,-0.0749739965374143,0.15908671554181,0.133124682446546,0.17080999056165,0,"essential",0.91559,0.91826,0.59262,0.99932,0.99322,0.97926,0.82884,NA,-1.51894528088617
